woord,suggestie_1,suggestie_2
vaders en moeders,ouders,
echtgenoot,partner,
echtgenote,partner,
echtgenote,partner,
man,partner,
vrouw,partner,
jongens en meisjes,kinderen,
mannen en vrouwen,intersekse persoon,
hermafrodiet,partner,persoon met een intersekse-conditie
mannen en vrouwen,intersekse persoon,
homohuwelijk,burgerlijk huwelijk,
Gay Pride,Pride Amsterdam,Canal Pride
gay,lhbtiqa+-persoon,
homo,lhbtiqa+-persoon,
transseksueel,trans persoon,
seksuele voorkeur,seksuele geaardheid,
mbo-leerling,mbo-student,
mbo-scholier,mbo-student,
laagopgeleid,mbo-niveau,
hoogopgeleid,wo-niveau,hbo-niveau
achterstandswijk,achtergestelde wijken,
Invalide,persoon met een fysieke beperking,
gehandicapte,persoon met een handicap,
doventolk,tolk Nederlandse Gebarentaal,
rolstoelpatiënt,rolstoelgebruiker,
invalidentoilet,toegankelijk toilet,
dwerg,persoon met dwerggroei,
lilliputter,persoon met dwerggroei,
ADHDer,persoon met ADHD,
Autist,persoon met een vorm van autisme,
Mongool,persoon met syndroom van Down,
chronische patiënt,persoon met een chronische aandoening,
Blinde,persoon met een visuele beperking,
Bejaarden,senioren,
ouderen,senioren,
jonkies,kinderen,
allochtoon,Migratieachtergrond,
autochtoon,Migratieachtergrond,
blank,wit,
halfbloed,bicultureel,
inheemse bewoners,oorspronkelijke bewoners van het gebied,
slaaf,"tot slaaf gemaakt,",mensen in slavernij
zigeuner,Roma,
blank,wit,
